ensgene,external_gene_name,log2FoldChange,lfcSE,pvalue,padj,gene_biotype
ENSG00000004799,PDK4,2.802902034334769,0.6176634177019215,2.659620342195102e-7,6.307099668634098e-5,protein_coding
ENSG00000007908,SELE,8.683734823066024,2.68842357029557,4.617034341215258e-10,3.2270640027020327e-7,protein_coding
ENSG00000008853,RHOBTB2,1.7347755189764327,0.49502888964489383,1.9275108431758866e-5,0.0024378422854643596,protein_coding
ENSG00000010282,HHATL,0.9852639941024272,0.3366616475175276,1.629020280384037e-4,0.014314641243819563,protein_coding
ENSG00000011422,PLAUR,6.610487850371386,1.1229864313793676,1.3781096572844549e-11,1.220086416582504e-8,protein_coding
ENSG00000047365,ARAP2,3.591736776890523,0.9139089677569329,2.618457578098036e-6,4.34663957964274e-4,protein_coding
ENSG00000047634,SCML1,1.7192615489847536,0.3103222076663424,1.798895583756457e-9,8.834373234515962e-7,protein_coding
ENSG00000052795,FNIP2,2.648148158604251,0.38845373854528825,3.9545502540940924e-13,8.752737895728259e-10,protein_coding
ENSG00000055044,NOP58,1.0984289523905515,0.2704225479942894,2.441954461508179e-6,4.104956360611217e-4,protein_coding
ENSG00000055483,USP36,0.8340686277423602,0.35301643077683675,8.245724378515212e-4,0.049801090562502474,protein_coding
ENSG00000059804,SLC2A3,3.8742534228864405,0.5626248479134036,3.190103676127628e-13,8.47291536379498e-10,protein_coding
ENSG00000064932,SBNO2,1.7383114647064488,0.7437903014471804,5.621982063829261e-4,0.0378984374658135,protein_coding
ENSG00000067082,KLF6,1.5892697663016162,0.37346745401607895,1.0152498186046014e-6,1.9036506534577958e-4,protein_coding
ENSG00000069020,MAST4,1.568092095425505,0.3570201056152509,5.408407236518096e-7,1.0882370924387927e-4,protein_coding
ENSG00000069399,BCL3,4.489327014863795,0.6519173554078813,1.6144514645079333e-13,5.359978862166339e-10,protein_coding
ENSG00000070444,MNT,1.6286816216073605,0.6767071357697622,5.52888382875973e-4,0.03765311653637395,protein_coding
ENSG00000070476,ZXDC,0.9677068630772453,0.42170098376276394,8.369265331957038e-4,0.04984028861362757,protein_coding
ENSG00000071282,LMCD1,0.7871266085718751,0.3145971210334492,6.030754474594572e-4,0.03992094521430328,protein_coding
ENSG00000072201,LNX1,-1.6584227996617082,0.765749660215435,7.60397940828302e-4,0.04715785383852353,protein_coding
ENSG00000072364,AFF4,0.8206834497062347,0.22452398787743796,1.5095158086338106e-5,0.001992669597526459,protein_coding
ENSG00000074356,C17orf85,-1.9293429303508849,0.7273381113070433,2.676033923627934e-4,0.021408271389023473,protein_coding
ENSG00000075426,FOSL2,2.078630128673902,0.3922949700394751,5.740727658946489e-9,2.0604557651570102e-6,protein_coding
ENSG00000077044,DGKD,1.1834527146669056,0.3188752811243721,1.003207289472424e-5,0.0014023781899151358,protein_coding
ENSG00000080189,SLC35C2,-1.7539475478424105,0.5498656501816989,6.071842812240339e-5,0.006218078570210678,protein_coding
ENSG00000081041,CXCL2,4.397020043024791,0.6702798089657749,3.9091765639083e-12,3.993374212977095e-9,protein_coding
ENSG00000084652,TXLNA,1.579462949941622,0.4598079513365745,2.6054541582714373e-5,0.003089324216236133,protein_coding
ENSG00000084676,NCOA1,-0.6620906543233566,0.24491480804020394,3.778686580035191e-4,0.0281915493162176,protein_coding
ENSG00000085415,SEH1L,1.1816606038933184,0.4349125593676697,2.5324026653983643e-4,0.020506284997859923,protein_coding
ENSG00000087245,MMP2,-1.5870041009485294,0.5705438870253617,1.5678037506729382e-4,0.014067860681713932,protein_coding
ENSG00000090339,ICAM1,3.266087999693242,0.6141638285507506,3.846093386807822e-9,1.4593177193373679e-6,protein_coding
ENSG00000091656,ZFHX4,-0.7206991617368715,0.2609790119782189,3.025082395195202e-4,0.023356450121042024,protein_coding
ENSG00000092439,TRPM7,1.125086215490793,0.29951403941623383,8.544766105220471e-6,0.0012334184117100855,protein_coding
