ensgene,external_gene_name,log2FoldChange,lfcSE,pvalue,padj,gene_biotype
ENSG00000006210,CX3CL1,1.4235191343302152,0.5531116703699611,2.706887411057878e-4,0.046839303039092756,protein_coding
ENSG00000006652,IFRD1,1.7894689525793341,0.37891390475904474,8.821120539052156e-8,7.182986566005822e-5,protein_coding
ENSG00000010270,STARD3NL,1.8115224589612058,0.6791371458777229,2.2926718922643865e-4,0.04175981184817882,protein_coding
ENSG00000010282,HHATL,1.2682256918938308,0.31221513471620793,1.8498629793543507e-6,9.145590436857957e-4,protein_coding
ENSG00000036672,USP2,0.8500386150713131,0.2366491235191072,1.1690154885175808e-5,0.0046236232592996775,protein_coding
ENSG00000069712,KIAA1107,5.949844955677632,2.584016674386536,7.629217918480882e-5,0.020309858393371315,protein_coding
ENSG00000075426,FOSL2,1.1942272283550353,0.40810419406293125,1.0733172217129624e-4,0.024357262787168096,protein_coding
ENSG00000106615,RHEB,1.058329440135055,0.3834284583688171,1.841559882086687e-4,0.0359052302080648,protein_coding
ENSG00000109819,PPARGC1A,2.331641346709682,0.37008040733581277,1.2408233580969822e-11,2.4538168208766465e-8,protein_coding
ENSG00000110172,CHORDC1,1.1157490355097395,0.304880685129412,8.452565145411847e-6,0.0037744793325140713,protein_coding
ENSG00000112715,VEGFA,1.5861168480652146,0.27737169914628856,4.4530807708587534e-10,6.164399711099773e-7,protein_coding
ENSG00000114315,HES1,1.9323071379789822,0.4406461687880442,4.71525749886281e-7,3.108252836036089e-4,protein_coding
ENSG00000117461,PIK3R3,1.1287737848101405,0.3789166538605641,9.294337423432389e-5,0.023393002355013556,protein_coding
ENSG00000117479,SLC19A2,1.4872927049198106,0.4156466393755465,1.153313665158412e-5,0.0046236232592996775,protein_coding
ENSG00000119508,NR4A3,3.9131582587575555,0.8048303453386103,3.7078404470663935e-8,3.421842353916006e-5,protein_coding
ENSG00000120129,DUSP1,3.112942765626518,0.742404122408966,9.69032118142005e-7,5.365724644575911e-4,protein_coding
ENSG00000120738,EGR1,5.551953663523279,0.7706055379526955,1.9220807318118802e-14,2.660736357047186e-10,protein_coding
